,Generated,Reference,WuP,GloVe-Similarity,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF
0,Halve,Close,0.2,0.026859529316425323,0.8970084021668034,0.8108108058109569,0.6885245851639346,0.7999999950001462,0.9575114250183105,0.8369466954980531
1,Hold,Close,0.3333333333333333,0.7839381098747253,0.0129903645282361,0.31034482440695604,0.22818791649565337,0.31034482440695604,0.8979163765907288,0.20089604611223064
2,Open,Close,0.3333333333333333,0.720828115940094,0.9861874720073875,0.9677419304838711,0.9426229458196722,0.9677419304838711,0.9799503087997437,0.9862722453087747
3,Pick-Up,Close,0.25,0.5153879523277283,0.7396178131655449,0.7065868214120263,0.5844748809099061,0.7065868214120263,0.9583874940872192,0.7277572019859232
4,Place-Down,Close,0.25,0.7576097846031189,0.23329505144323145,0.39416057958122436,0.24581005152523333,0.379562039435239,0.9415282011032104,0.39149504014915837
5,Pour,Close,0.25,0.2032543271780014,0.5161760775291562,0.6111111062075618,0.45791245307168205,0.6111111062075618,0.959873616695404,0.886945802362599
6,Slice,Close,0.2222222222222222,0.38084927201271057,0.8969364039119858,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9591962695121765,0.8459680483291966
7,Wipe,Close,0.25,0.30312448740005493,0.9061001379127421,0.8108108058109569,0.6885245851639346,0.8108108058109569,0.9921151399612427,0.859850170077593
8,Close,Halve,0.2,0.026859529316425323,0.6983617684053995,0.7428571378861678,0.7070063644559619,0.7428571378861678,0.9512754082679749,0.7559912376833657
9,Hold,Halve,0.25,0.18634237349033356,0.3627414592708021,0.629213478509658,0.5639097698024197,0.629213478509658,0.9410934448242188,0.5235376211118936
10,Open,Halve,0.25,0.13741867244243622,0.8785572766059704,0.7142857092861129,0.6666666616668439,0.7142857092861129,0.9644065499305725,0.8653949615030947
11,Pick-Up,Halve,0.2,0.1682203710079193,0.5765425490713133,0.7192118177242836,0.666666661746889,0.7192118177242836,0.9475107789039612,0.6721067358705529
12,Place-Down,Halve,0.2,0.11310732364654541,0.7323716803486724,0.6116504804840229,0.5632911342647413,0.6116504804840229,0.9490187764167786,0.759628925104812
13,Pour,Halve,0.2,0.3157775104045868,0.7190216205661604,0.534482753624034,0.4249291734792832,0.534482753624034,0.9407174587249756,0.7898564595816214
14,Slice,Halve,0.18181818181818182,0.37714821100234985,0.9606695686516564,0.9107142807146844,0.8757396399704143,0.9107142807146844,0.9880003333091736,0.9542495810992068
15,Wipe,Halve,0.2,0.5097622871398926,0.7819366543858782,0.5769230719605215,0.5236593010156337,0.5769230719605215,0.9473660588264465,0.7772891154310537
16,Close,Hold,0.3333333333333333,0.7839381098747253,0.9092807419358937,0.9039547972677072,0.8529411714773465,0.8700564921829617,0.9597050547599792,0.9160826274543475
17,Halve,Hold,0.25,0.18634237349033356,0.40013282394953537,0.5165562866295339,0.3482142810495058,0.5033112535169512,0.9432237148284912,0.5447438145077778
18,Open,Hold,0.5,0.739703357219696,0.8971165194334937,0.8850574662808827,0.840148693896436,0.8505747076601929,0.9561905264854431,0.9069147217377056
