Generated,Reference,Model,Run,WuP,GloVe-Similarity,Sensorimotor Distance,BLEU,ROUGE-1,ROUGE-2,ROUGE-L,CodeBERTScore,chrF,LoC,Compilation
Place-Down,Hold,gpt-3.5-turbo-0301,1,0.3333333333333333,0.7480592727661133,0.234937314389433,0.5265318001086965,0.5644171729971019,0.3821138162452905,0.5030674797455682,0.9411683678627014,0.6242808057463506,35,0
Pour,Hold,gpt-3.5-turbo-0301,1,0.3333333333333333,0.36530041694641113,0.11875767443836,0.49951730172382014,0.31578946871310837,0.15503875473318926,0.2690058429821142,0.92899090051651,0.5588704376433072,37,0
Slice,Hold,gpt-3.5-turbo-0301,1,0.2857142857142857,0.36973074078559875,0.0513302142817702,0.8199363297329628,0.747126431798124,0.6616541303564363,0.7126436731774343,0.9522936344146729,0.8272869998136906,47,0
Wipe,Hold,gpt-3.5-turbo-0301,1,0.3333333333333333,0.43972694873809814,0.0158176034997597,0.7721040221935416,0.8041237063534914,0.7320261388216072,0.8041237063534914,0.9612008929252625,0.9192819594170074,63,0
Close,Open,gpt-3.5-turbo-0301,1,0.3333333333333333,0.720828115940094,0.045264758045214,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9838960766792297,0.9778603906884076,46,0
Halve,Open,gpt-3.5-turbo-0301,1,0.25,0.13741867244243622,0.0827258509852445,0.8725877163116853,0.8021977972002173,0.6721991651252562,0.7912087862112064,0.9527330994606018,0.8346476267314132,45,0
Hold,Open,gpt-3.5-turbo-0301,1,0.5,0.739703357219696,0.103886621549432,0.015171488187131604,0.30508474242315425,0.19999999696355558,0.30508474242315425,0.9009445309638977,0.1972973620806554,10,0
Pick-Up,Open,gpt-3.5-turbo-0301,1,0.3333333333333333,0.494068443775177,0.0311757950604205,0.6416690595475412,0.7169811272196511,0.612440186527781,0.7169811272196511,0.9487044215202332,0.6555200722130424,36,0
Place-Down,Open,gpt-3.5-turbo-0301,1,0.3333333333333333,0.8066946268081665,0.123578364246354,0.48643985295329223,0.4713375747884295,0.278846148995932,0.44585986778206016,0.9400478005409241,0.5548258434950057,33,0
Pour,Open,gpt-3.5-turbo-0301,1,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.7828635594533515,0.8124999950048829,0.6692307642497042,0.8124999950048829,0.9570434093475342,0.9454225659011541,53,0
Slice,Open,gpt-3.5-turbo-0301,1,0.2857142857142857,0.31941211223602295,0.0770675081437801,0.8653827586146223,0.7765957396814169,0.6532258014529136,0.7765957396814169,0.9526461362838745,0.8427501830219054,47,0
Wipe,Open,gpt-3.5-turbo-0301,1,0.3333333333333333,0.3229246437549591,0.139307387341262,0.8160315197410772,0.7853403091395522,0.643410847727901,0.7853403091395522,0.9581261873245239,0.8566056950581955,52,0
Close,Pick-Up,gpt-3.5-turbo-0301,1,0.25,0.5153879523277283,0.0702866678284649,0.014139995714254233,0.19780219476391747,0.09448818581437173,0.19780219476391747,0.8332035541534424,0.17830280533465392,6,0
Halve,Pick-Up,gpt-3.5-turbo-0301,1,0.2,0.1682203710079193,0.0710081231639225,0.2568720251262692,0.49557521671861543,0.3576158896557169,0.49557521671861543,0.8986877202987671,0.43769714482144667,13,0
Hold,Pick-Up,gpt-3.5-turbo-0301,1,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.37011869805518277,0.5470085423595589,0.43589743137080866,0.5470085423595589,0.9199551343917847,0.5105974615183432,18,0
Open,Pick-Up,gpt-3.5-turbo-0301,1,0.3333333333333333,0.494068443775177,0.0311757950604205,0.04680519049533372,0.3636363598612387,0.2388059665137002,0.3636363598612387,0.8658313155174255,0.23836143645836183,9,0
Place-Down,Pick-Up,gpt-3.5-turbo-0301,1,0.25,0.6661379933357239,0.169426303267544,0.6898032650328334,0.6466165364169822,0.510869560276465,0.5864661604771327,0.9367580413818359,0.7260469865532279,29,0
Pour,Pick-Up,gpt-3.5-turbo-0301,1,0.25,0.16679634153842926,0.0699600588276674,0.23459153271458888,0.14414413969969986,0.0641025595759372,0.14414413969969986,0.8843119144439697,0.34774260813722724,16,0
Slice,Pick-Up,gpt-3.5-turbo-0301,1,0.2222222222222222,0.44728294014930725,0.0743805998594153,0.4221773729998167,0.508196716538565,0.3999999952793388,0.508196716538565,0.9044873714447021,0.5291979853653386,20,0
Wipe,Pick-Up,gpt-3.5-turbo-0301,1,0.25,0.29693812131881714,0.0946885101065148,0.6993710972167192,0.5594405544466723,0.3645320147045549,0.5454545404606582,0.9462867379188538,0.6895223468618988,35,0
Close,Place-Down,gpt-3.5-turbo-0301,1,0.25,0.7576097846031189,0.0519029166068075,0.07404207583834395,0.2894736799385388,0.11224489396709718,0.21052631151748624,0.8855631351470947,0.27117137885841347,15,0
Halve,Place-Down,gpt-3.5-turbo-0301,1,0.2,0.11310732364654541,0.114183228214588,0.5975547938510147,0.6292134783076633,0.5573770443147004,0.6292134783076633,0.9389139413833618,0.6863440052486053,30,0
Hold,Place-Down,gpt-3.5-turbo-0301,1,0.3333333333333333,0.7480592727661133,0.234937314389433,0.009360166753585523,0.30158729880952384,0.23809523547902497,0.30158729880952384,0.8804634213447571,0.18516419005209117,8,1
Open,Place-Down,gpt-3.5-turbo-0301,1,0.3333333333333333,0.8066946268081665,0.123578364246354,0.08341693730960319,0.19999999625000006,0.08510637928248092,0.15714285339285725,0.858108401298523,0.27995866248561024,12,0
Pick-Up,Place-Down,gpt-3.5-turbo-0301,1,0.25,0.6661379933357239,0.169426303267544,0.15171971056734398,0.3687943224385092,0.19251336532929172,0.3687943224385092,0.9265211820602417,0.3532464549128524,17,0
Pour,Place-Down,gpt-3.5-turbo-0301,1,0.25,0.2918168306350708,0.113289610372751,0.06152944570920616,0.21428571053571432,0.08465608091934733,0.1857142819642858,0.8738816976547241,0.2279615641443267,12,0
Slice,Place-Down,gpt-3.5-turbo-0301,1,0.2222222222222222,0.4426504373550415,0.135771583124557,0.05568210169428802,0.2835820861606148,0.2087912053616713,0.2835820861606148,0.8786216974258423,0.26793524147842684,11,0
Wipe,Place-Down,gpt-3.5-turbo-0301,1,0.25,0.32125502824783325,0.220155971966159,0.30719832979734,0.23749999548828132,0.09734512807267624,0.14999999548828136,0.875174343585968,0.44838033938041577,25,0
Close,Pour,gpt-3.5-turbo-0301,1,0.25,0.2032543271780014,0.0815941431836668,0.7624902316232277,0.8176795530295169,0.7272727223079369,0.7624309342449865,0.9515928626060486,0.8058263752877924,45,1
Halve,Pour,gpt-3.5-turbo-0301,1,0.2,0.3157775104045868,0.0776414292502186,0.8923827177830572,0.808510633300136,0.7483443658644358,0.7553191439384337,0.9522031545639038,0.8974001132926853,53,1
Hold,Pour,gpt-3.5-turbo-0301,1,0.3333333333333333,0.36530041694641113,0.11875767443836,0.596381207109085,0.7337278057434964,0.6217228415716312,0.7337278057434964,0.9502822756767273,0.6705945325555828,39,1
Open,Pour,gpt-3.5-turbo-0301,1,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.7624902316232277,0.8176795530295169,0.7412587362939509,0.8176795530295169,0.9566404223442078,0.8059378098337632,45,1
Pick-Up,Pour,gpt-3.5-turbo-0301,1,0.25,0.16679634153842926,0.0699600588276674,0.6220857050609612,0.7931034433293699,0.7326007276925761,0.7931034433293699,0.9593446850776672,0.7186025430331245,38,1
Place-Down,Pour,gpt-3.5-turbo-0301,1,0.25,0.2918168306350708,0.113289610372751,0.7137709499977819,0.7032966983117982,0.547368416091105,0.6923076873227871,0.951886773109436,0.7658700647664256,44,0
Slice,Pour,gpt-3.5-turbo-0301,1,0.2222222222222222,0.5407348275184631,0.0772310812987127,0.897264560616949,0.7835051496397067,0.7402597352599511,0.7835051496397067,0.9580861926078796,0.8985220987933138,55,1
Wipe,Pour,gpt-3.5-turbo-0301,1,0.25,0.509205162525177,0.0970422225532095,0.8923827177830572,0.808510633300136,0.7615893989770186,0.808510633300136,0.957344114780426,0.8951963299115162,53,1
Close,Slice,gpt-3.5-turbo-0301,1,0.2222222222222222,0.38084927201271057,0.0887489492764253,0.5709960406298045,0.7134502874593893,0.64638782777834,0.7134502874593893,0.9462175965309143,0.6672975292999666,40,1
Halve,Slice,gpt-3.5-turbo-0301,1,0.18181818181818182,0.37714821100234985,0.0934805650414641,0.9971550403323199,0.9894736792105263,0.9864864814864867,0.9894736792105263,0.9974266886711121,0.9972427475162525,55,1
Hold,Slice,gpt-3.5-turbo-0301,1,0.2857142857142857,0.36973074078559875,0.0513302142817702,0.2822185957607197,0.6447368374177632,0.5502183360393585,0.6447368374177632,0.9369483590126038,0.47470304350695397,27,1
Open,Slice,gpt-3.5-turbo-0301,1,0.2857142857142857,0.31941211223602295,0.0770675081437801,0.7124128489788597,0.71910111861823,0.6859205726408529,0.71910111861823,0.9615573883056641,0.7609278715901212,47,1
Pick-Up,Slice,gpt-3.5-turbo-0301,1,0.2222222222222222,0.44728294014930725,0.0743805998594153,0.4677913442084998,0.7484662528059016,0.69599999516928,0.7484662528059016,0.9436399936676025,0.6101140994059281,33,1
Place-Down,Slice,gpt-3.5-turbo-0301,1,0.2222222222222222,0.4426504373550415,0.135771583124557,0.3426020595614087,0.6274509756845658,0.5021644975603906,0.6143790802597292,0.9399322867393494,0.5283687108140392,27,0
Pour,Slice,gpt-3.5-turbo-0301,1,0.2222222222222222,0.5407348275184631,0.0772310812987127,0.7116227877196782,0.5025640975673901,0.39344261795517343,0.5025640975673901,0.942110538482666,0.7264386760578407,55,1
Wipe,Slice,gpt-3.5-turbo-0301,1,0.2222222222222222,0.5417711138725281,0.0503783542992758,0.5967786850725093,0.6783625681611437,0.625954193557485,0.6783625681611437,0.9484848380088806,0.666227478337655,42,1
Close,Wipe,gpt-3.5-turbo-0301,1,0.25,0.30312448740005493,0.1558799708666,0.8108507252668486,0.6666666616749292,0.5333333283487655,0.6666666616749292,0.9525112509727478,0.8013165016307839,32,1
Halve,Wipe,gpt-3.5-turbo-0301,1,0.2,0.5097622871398926,0.118278224124008,0.870641483914287,0.687499995,0.5473684160526316,0.687499995,0.9778506755828857,0.8619412823802652,35,1
Hold,Wipe,gpt-3.5-turbo-0301,1,0.3333333333333333,0.43972694873809814,0.0158176034997597,5.183561478473537e-05,0.15584415303761176,0.03738317557865326,0.10389610108955986,0.8478652238845825,0.07279436998110862,6,0
Open,Wipe,gpt-3.5-turbo-0301,1,0.3333333333333333,0.3229246437549591,0.139307387341262,0.18537471487472768,0.4554455399117734,0.23776223330236207,0.4356435597137536,0.9219743013381958,0.375087749543606,14,1
Pick-Up,Wipe,gpt-3.5-turbo-0301,1,0.25,0.29693812131881714,0.0946885101065148,0.8010297708324693,0.650406499073303,0.5111111061265433,0.650406499073303,0.9496504068374634,0.8019402365961777,32,1
Place-Down,Wipe,gpt-3.5-turbo-0301,1,0.25,0.32125502824783325,0.220155971966159,0.12187606271963763,0.34408601721355075,0.21052631170784109,0.34408601721355075,0.9114351272583008,0.3438167873729354,13,1
Pour,Wipe,gpt-3.5-turbo-0301,1,0.25,0.509205162525177,0.0970422225532095,0.7609644576688045,0.647058818546713,0.5123152659564659,0.647058818546713,0.9482245445251465,0.8670973544497276,39,1
Slice,Wipe,gpt-3.5-turbo-0301,1,0.2222222222222222,0.5417711138725281,0.0503783542992758,0.0002944609720484223,0.10389610108955986,0.03738317557865326,0.10389610108955986,0.8526862859725952,0.08934055373666733,6,0
Halve,Close,gpt-3.5-turbo-0301,2,0.2,0.026859529316425323,0.0855097373008226,0.8594955539454142,0.8064516079032258,0.6885245851639346,0.8064516079032258,0.9538000822067261,0.8642741108240543,47,0
Hold,Close,gpt-3.5-turbo-0301,2,0.3333333333333333,0.7839381098747253,0.143589044210939,0.20744282395469765,0.40845069970541564,0.2513661157741348,0.3661971785786551,0.9140338897705078,0.39112223938042373,22,0
Open,Close,gpt-3.5-turbo-0301,2,0.3333333333333333,0.720828115940094,0.045264758045214,0.6734221254403355,0.8023952046455591,0.7557603637410011,0.8023952046455591,0.9520941376686096,0.7797648949484025,36,0
Pick-Up,Close,gpt-3.5-turbo-0301,2,0.25,0.5153879523277283,0.0702866678284649,0.7379874920076877,0.7065868214120263,0.5844748809099061,0.7065868214120263,0.9522169232368469,0.72778990026107,39,0
Place-Down,Close,gpt-3.5-turbo-0301,2,0.25,0.7576097846031189,0.0519029166068075,0.43097591485689807,0.4836601259515571,0.29999999524200005,0.45751633510188394,0.9462898373603821,0.5249541447459932,31,0
Pour,Close,gpt-3.5-turbo-0301,2,0.25,0.2032543271780014,0.0815941431836668,0.7493541191724107,0.7999999950106509,0.6415094289936634,0.7794871744978304,0.9581091403961182,0.9389513726369932,56,0
Slice,Close,gpt-3.5-turbo-0301,2,0.2222222222222222,0.38084927201271057,0.0887489492764253,0.903967223202745,0.7999999950001462,0.6721311425409836,0.7999999950001462,0.9561603665351868,0.8589986871350243,48,0
Wipe,Close,gpt-3.5-turbo-0301,2,0.25,0.30312448740005493,0.1558799708666,0.8323631609917244,0.7830687780700429,0.643137249911265,0.7724867674880322,0.9629873037338257,0.8526115921957788,52,0
Close,Halve,gpt-3.5-turbo-0301,2,0.2,0.026859529316425323,0.0855097373008226,0.6991417911029488,0.7428571378861678,0.7070063644559619,0.7428571378861678,0.9528118968009949,0.7566437477813008,47,1
Hold,Halve,gpt-3.5-turbo-0301,2,0.25,0.18634237349033356,0.0978263036860699,0.36516611577271324,0.625698319367061,0.5639097698024197,0.625698319367061,0.9410263299942017,0.5258906553902528,33,1
Open,Halve,gpt-3.5-turbo-0301,2,0.25,0.13741867244243622,0.0827258509852445,0.8667145520426548,0.7363636313673555,0.6909090859120294,0.7363636313673555,0.9557874798774719,0.8616260026356696,55,1
Pick-Up,Halve,gpt-3.5-turbo-0301,2,0.2,0.1682203710079193,0.0710081231639225,0.47024871777039706,0.670270265515851,0.6304347778610061,0.670270265515851,0.9440234303474426,0.6002709387900829,35,1
Place-Down,Halve,gpt-3.5-turbo-0301,2,0.2,0.11310732364654541,0.114183228214588,0.7323716803486724,0.6116504804840229,0.5632911342647413,0.6116504804840229,0.9490187764167786,0.759628925104812,51,0
Pour,Halve,gpt-3.5-turbo-0301,2,0.2,0.3157775104045868,0.0776414292502186,0.7190216205661604,0.534482753624034,0.4249291734792832,0.534482753624034,0.9411572217941284,0.7913697397817222,63,1
Slice,Halve,gpt-3.5-turbo-0301,2,0.18181818181818182,0.37714821100234985,0.0934805650414641,0.9606695686516564,0.9107142807146844,0.8757396399704143,0.9107142807146844,0.9880003333091736,0.9542495810992068,58,1
Wipe,Halve,gpt-3.5-turbo-0301,2,0.2,0.5097622871398926,0.118278224124008,0.7819366543858782,0.5769230719605215,0.5236593010156337,0.5769230719605215,0.9473660588264465,0.7772891154310537,56,1
Close,Hold,gpt-3.5-turbo-0301,2,0.3333333333333333,0.7839381098747253,0.143589044210939,0.34214467822095107,0.5655172367410226,0.38139534432276906,0.5655172367410226,0.9451388120651245,0.5387597263285615,23,0
Halve,Hold,gpt-3.5-turbo-0301,2,0.25,0.18634237349033356,0.0978263036860699,0.8127811398692137,0.7005649667592327,0.5895522338196146,0.666666661674487,0.9500069618225098,0.8157947845848875,47,0
Open,Hold,gpt-3.5-turbo-0301,2,0.5,0.739703357219696,0.103886621549432,0.3619878457097412,0.569444439830247,0.4299065375609224,0.569444439830247,0.9433310031890869,0.5482579692157244,23,0
Pick-Up,Hold,gpt-3.5-turbo-0301,2,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.9808005446465402,0.9670329620335709,0.9499999950002551,0.9670329620335709,0.9891449809074402,0.9852361228858594,51,1
Place-Down,Hold,gpt-3.5-turbo-0301,2,0.3333333333333333,0.7480592727661133,0.234937314389433,0.8225666451123884,0.7403314867140808,0.6236559089790729,0.7071823154433626,0.9546931385993958,0.8416705315806702,49,0
Pour,Hold,gpt-3.5-turbo-0301,2,0.3333333333333333,0.36530041694641113,0.11875767443836,0.49951730172382014,0.31578946871310837,0.15503875473318926,0.2690058429821142,0.92899090051651,0.5588704376433072,37,0
Slice,Hold,gpt-3.5-turbo-0301,2,0.2857142857142857,0.36973074078559875,0.0513302142817702,0.8199363297329628,0.747126431798124,0.6616541303564363,0.7126436731774343,0.9522936344146729,0.8272869998136906,47,0
Wipe,Hold,gpt-3.5-turbo-0301,2,0.3333333333333333,0.43972694873809814,0.0158176034997597,0.7721040221935416,0.8041237063534914,0.7320261388216072,0.8041237063534914,0.9612663984298706,0.9194097292297881,63,0
Close,Open,gpt-3.5-turbo-0301,2,0.3333333333333333,0.720828115940094,0.045264758045214,0.9757348728234806,0.9354838659677419,0.8934426179508197,0.9354838659677419,0.9838960766792297,0.9778603906884076,46,0
Halve,Open,gpt-3.5-turbo-0301,2,0.25,0.13741867244243622,0.0827258509852445,0.8725877163116853,0.8021977972002173,0.6721991651252562,0.7912087862112064,0.9527330994606018,0.8346476267314132,45,0
Hold,Open,gpt-3.5-turbo-0301,2,0.5,0.739703357219696,0.103886621549432,0.015171488187131604,0.30508474242315425,0.19999999696355558,0.30508474242315425,0.9009445309638977,0.1972973620806554,10,0
Pick-Up,Open,gpt-3.5-turbo-0301,2,0.3333333333333333,0.494068443775177,0.0311757950604205,0.6416690595475412,0.7169811272196511,0.612440186527781,0.7169811272196511,0.9487044215202332,0.6555200722130424,36,0
Place-Down,Open,gpt-3.5-turbo-0301,2,0.3333333333333333,0.8066946268081665,0.123578364246354,0.44640059907856183,0.47741935003870967,0.28712870808744245,0.4516128984258065,0.9405879378318787,0.5292737924815817,31,0
Pour,Open,gpt-3.5-turbo-0301,2,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.7828635594533515,0.8124999950048829,0.6692307642497042,0.8124999950048829,0.9570434093475342,0.9454225659011541,53,0
Slice,Open,gpt-3.5-turbo-0301,2,0.2857142857142857,0.31941211223602295,0.0770675081437801,0.8364327333249495,0.7891891841893353,0.6747967429678101,0.7891891841893353,0.9513839483261108,0.8244219762691306,47,0
Wipe,Open,gpt-3.5-turbo-0301,2,0.3333333333333333,0.3229246437549591,0.139307387341262,0.8160315197410772,0.7853403091395522,0.643410847727901,0.7853403091395522,0.9580093026161194,0.8571081350721199,52,0
Close,Pick-Up,gpt-3.5-turbo-0301,2,0.25,0.5153879523277283,0.0702866678284649,0.02699720823595438,0.2127659540968765,0.09230768892781077,0.2127659540968765,0.8387098908424377,0.1991391101124522,7,0
Halve,Pick-Up,gpt-3.5-turbo-0301,2,0.2,0.1682203710079193,0.0710081231639225,0.15885009292113625,0.3762376198451132,0.28571428175918373,0.35643563964709346,0.864774763584137,0.36848523331000865,10,0
Hold,Pick-Up,gpt-3.5-turbo-0301,2,0.3333333333333333,0.6284888386726379,0.0669021654064496,0.3914889026870605,0.5641025594535759,0.4303797422592533,0.5641025594535759,0.9201474785804749,0.5305142380153794,20,0
Open,Pick-Up,gpt-3.5-turbo-0301,2,0.3333333333333333,0.494068443775177,0.0311757950604205,0.04680519049533372,0.3636363598612387,0.2388059665137002,0.3636363598612387,0.8658313155174255,0.23836143645836183,9,0
Place-Down,Pick-Up,gpt-3.5-turbo-0301,2,0.25,0.6661379933357239,0.169426303267544,0.6898032650328334,0.6466165364169822,0.510869560276465,0.5864661604771327,0.9367580413818359,0.7260469865532279,29,0
Pour,Pick-Up,gpt-3.5-turbo-0301,2,0.25,0.16679634153842926,0.0699600588276674,0.2595067775485418,0.17699114592215534,0.06329113466431695,0.17699114592215534,0.8925373554229736,0.3946533124977308,18,0
Slice,Pick-Up,gpt-3.5-turbo-0301,2,0.2222222222222222,0.44728294014930725,0.0743805998594153,0.4221773729998167,0.508196716538565,0.3999999952793388,0.508196716538565,0.9044873714447021,0.5291979853653386,20,0
Wipe,Pick-Up,gpt-3.5-turbo-0301,2,0.25,0.29693812131881714,0.0946885101065148,0.6993710972167192,0.5594405544466723,0.3645320147045549,0.5454545404606582,0.9462867379188538,0.6895223468618988,35,0
Close,Place-Down,gpt-3.5-turbo-0301,2,0.25,0.7576097846031189,0.0519029166068075,0.07404207583834395,0.2894736799385388,0.11224489396709718,0.21052631151748624,0.8855631351470947,0.27117137885841347,15,0
Halve,Place-Down,gpt-3.5-turbo-0301,2,0.2,0.11310732364654541,0.114183228214588,0.5959481983091632,0.6327683567557216,0.5596707770353436,0.6327683567557216,0.9388408064842224,0.6859180032423207,30,0
Hold,Place-Down,gpt-3.5-turbo-0301,2,0.3333333333333333,0.7480592727661133,0.234937314389433,0.009360166753585523,0.30158729880952384,0.23809523547902497,0.30158729880952384,0.8804634213447571,0.18516419005209117,8,1
Open,Place-Down,gpt-3.5-turbo-0301,2,0.3333333333333333,0.8066946268081665,0.123578364246354,0.03393370971351281,0.19402984735464474,0.07821228722324534,0.16417910108598804,0.8520353436470032,0.2270693592685723,10,0
Pick-Up,Place-Down,gpt-3.5-turbo-0301,2,0.25,0.6661379933357239,0.169426303267544,0.15171971056734398,0.3687943224385092,0.19251336532929172,0.3687943224385092,0.9265211820602417,0.3532464549128524,17,0
Pour,Place-Down,gpt-3.5-turbo-0301,2,0.25,0.2918168306350708,0.113289610372751,0.06152944570920616,0.21428571053571432,0.08465608091934733,0.1857142819642858,0.8738816976547241,0.2279615641443267,12,0
Slice,Place-Down,gpt-3.5-turbo-0301,2,0.2222222222222222,0.4426504373550415,0.135771583124557,0.5878763410773489,0.7415730288694609,0.6835442989941072,0.7415730288694609,0.9455457925796509,0.667745609399285,32,0
Wipe,Place-Down,gpt-3.5-turbo-0301,2,0.25,0.32125502824783325,0.220155971966159,0.30719832979734,0.23749999548828132,0.09734512807267624,0.14999999548828136,0.875174343585968,0.44838033938041577,25,0
Close,Pour,gpt-3.5-turbo-0301,2,0.25,0.2032543271780014,0.0815941431836668,0.7624902316232277,0.8176795530295169,0.7272727223079369,0.7624309342449865,0.9515928626060486,0.8058263752877924,45,1
Halve,Pour,gpt-3.5-turbo-0301,2,0.2,0.3157775104045868,0.0776414292502186,0.8923827177830572,0.808510633300136,0.7483443658644358,0.7553191439384337,0.9522031545639038,0.8974001132926853,53,1
Hold,Pour,gpt-3.5-turbo-0301,2,0.3333333333333333,0.36530041694641113,0.11875767443836,0.596381207109085,0.7337278057434964,0.6217228415716312,0.7337278057434964,0.9502822756767273,0.6705945325555828,39,1
Open,Pour,gpt-3.5-turbo-0301,2,0.3333333333333333,0.2541566789150238,0.0784764079700592,0.7624902316232277,0.8176795530295169,0.7412587362939509,0.8176795530295169,0.9575625658035278,0.8059378098337632,45,1
Pick-Up,Pour,gpt-3.5-turbo-0301,2,0.25,0.16679634153842926,0.0699600588276674,0.6319687091695928,0.777142852190041,0.727272722353719,0.777142852190041,0.9594858288764954,0.7194695242330503,39,1
Place-Down,Pour,gpt-3.5-turbo-0301,2,0.25,0.2918168306350708,0.113289610372751,0.7137709499977819,0.7032966983117982,0.547368416091105,0.6923076873227871,0.951886773109436,0.7658700647664256,44,0
Slice,Pour,gpt-3.5-turbo-0301,2,0.2222222222222222,0.5407348275184631,0.0772310812987127,0.8923827177830572,0.808510633300136,0.7615893989770186,0.808510633300136,0.9566998481750488,0.8989861942831915,53,1
Wipe,Pour,gpt-3.5-turbo-0301,2,0.25,0.509205162525177,0.0970422225532095,0.8923827177830572,0.808510633300136,0.7615893989770186,0.808510633300136,0.957344114780426,0.8951963299115162,53,1
Close,Slice,gpt-3.5-turbo-0301,2,0.2222222222222222,0.38084927201271057,0.0887489492764253,0.5709960406298045,0.7134502874593893,0.64638782777834,0.7134502874593893,0.9462175965309143,0.6672975292999666,40,1
